cell_id,ndvi_mean
-29.5000_-62.7500,0.5009101992966003
-29.5000_-63.0000,0.48988475967174683
-29.5000_-63.2500,0.5277283704572099
-29.5000_-63.5000,0.5510644783118406
-29.5000_-63.7500,0.4625580304806565
-29.5000_-64.0000,0.43588827667057445
-29.5000_-64.2500,0.4578504103165299
-29.5000_-64.5000,0.18295509964830012
-29.5000_-64.7500,0.5227594372801876
-29.5000_-65.0000,0.343567878077374
-29.5000_-65.2500,0.47483915592028136
-29.5000_-65.5000,0.48296377491207504
-29.5000_-65.7500,0.335241735052755
-29.5000_-66.0000,0.34630304806565065
-29.5000_-66.2500,0.34098452520515826
-29.5000_-66.5000,0.4226245017584994
-29.5000_-66.7500,0.4450968347010551
-29.5000_-67.0000,0.5863621336459555
-29.5000_-67.2500,0.14650257913247364
-29.5000_-67.5000,0.2596208675263775
-29.5000_-67.7500,0.29589648300117233
-29.5000_-68.0000,0.15262731535756155
-29.7500_-57.2500,0.6171528722157094
-29.7500_-57.5000,0.5941016412661196
-29.7500_-57.7500,0.6197208675263775
-29.7500_-58.0000,0.6567211019929661
-29.7500_-58.2500,0.6415906213364595
-29.7500_-58.5000,0.5847791324736225
-29.7500_-58.7500,0.6489524032825323
-29.7500_-59.0000,0.6206547479484174
-29.7500_-59.2500,0.613131652989449
-29.7500_-59.5000,0.5535083235638921
-29.7500_-59.7500,0.5708618991793669
-29.7500_-60.0000,0.5930908558030481
-29.7500_-60.2500,0.5668539273153576
-29.7500_-60.5000,0.3007475967174677
-29.7500_-60.7500,0.5649864009378663
-29.7500_-61.0000,0.5247188745603751
-29.7500_-61.2500,0.5128861664712778
-29.7500_-61.5000,0.5092498241500586
-29.7500_-61.7500,0.4952289566236811
-29.7500_-62.0000,0.4570303634232122
-29.7500_-62.2500,0.42186998827667055
-29.7500_-62.5000,0.4848446658851114
-29.7500_-62.7500,0.4525342321219227
-29.7500_-63.0000,0.45619671746776086
-29.7500_-63.2500,0.4957107854630715
-29.7500_-63.5000,0.4763754982415006
-29.7500_-63.7500,0.5302425556858148
-29.7500_-64.0000,0.42621101992966004
-29.7500_-64.2500,0.4705383352872216
-29.7500_-64.5000,0.4951001172332943
-29.7500_-64.7500,0.21382661195779604
-29.7500_-65.0000,0.12986565064478311
-29.7500_-65.2500,0.3723730363423212
-29.7500_-65.5000,0.42794806565064475
-29.7500_-65.7500,0.40502743259085583
-29.7500_-66.0000,0.34367878077373976
-29.7500_-66.2500,0.3786150058616647
-29.7500_-66.5000,0.3401173505275498
-29.7500_-66.7500,0.4312213364595545
-29.7500_-67.0000,0.5018706916764362
-29.7500_-67.2500,0.16516905041031651
-29.7500_-67.5000,0.17324736225087925
-29.7500_-67.7500,0.1469219226260258
-29.7500_-68.0000,0.1522567409144197
-30.0000_-57.5000,0.6788071512309496
-30.0000_-57.7500,0.6709966002344666
-30.0000_-58.0000,0.6566028135990623
-30.0000_-58.2500,0.6522803048065652
-30.0000_-58.5000,0.6130982415005862
-30.0000_-58.7500,0.6179876905041032
-30.0000_-59.0000,0.6493892145369284
-30.0000_-59.2500,0.5879896834701055
-30.0000_-59.5000,0.5601980070339977
-30.0000_-59.7500,0.6082607268464244
-30.0000_-60.0000,0.5808588511137163
-30.0000_-60.2500,0.5454982415005861
-30.0000_-60.5000,0.5634257913247362
-30.0000_-60.7500,0.5610478311840563
-30.0000_-61.0000,0.48805169988276675
-30.0000_-61.2500,0.4114967174677609
-30.0000_-61.5000,0.5321513481828839
-30.0000_-61.7500,0.5190171160609613
-30.0000_-62.0000,0.47686354044548657
-30.0000_-62.2500,0.4431443141852286
-30.0000_-62.5000,0.43746025791324733
-30.0000_-62.7500,0.47453106682297774
-30.0000_-63.0000,0.4852491207502931
-30.0000_-63.2500,0.4244446658851114
-30.0000_-63.5000,0.4274554513481829
-30.0000_-63.7500,0.40094794841735054
